gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
FOSL2,MEP,0.409813,1,1,tf,0.5254,0.0,42
ZNF263,MEP,0.402051,1,1,other,0.6701,0.0,43
HNF4A,MEP,0.400293,1,1,other,0.6672,0.0,44
RACK1,MEP,0.4,1,1,other,0.0,1.0,45
BCL11A,MEP,0.382818,2,1,tf,0.4907,0.0001,46
BATF,MEP,0.377811,1,1,other,0.6297,0.0,47
TRIM28,MEP,0.37637,1,1,other,0.6273,0.0,48
MEF2A,MEP,0.375986,1,1,tf,0.482,0.0,49
HDAC2,MEP,0.37124,1,1,other,0.6187,0.0,50
MXI1,MEP,0.370553,1,1,tf,0.4751,0.0,51
IRF4,MEP,0.369475,1,1,tf,0.4737,0.0,52
SIN3A,MEP,0.364038,1,1,other,0.6067,0.0,53
SETDB1,MEP,0.358718,1,1,other,0.5979,0.0,54
ZNF143,MEP,0.34504,1,1,other,0.5751,0.0,55
EEF1G,MEP,0.341845,1,1,other,0.0,0.8546,56
STAT1,MEP,0.33503,1,1,tf,0.4295,0.0,57
RFX5,MEP,0.32838,1,1,other,0.5473,0.0,58
CCNT2,MEP,0.328332,1,1,other,0.5472,0.0,59
GABPB1,MEP,0.325647,1,1,other,0.5427,0.0,60
SRT,MEP,0.309437,1,1,other,0.5157,0.0,61
IRF1,MEP,0.301834,1,1,tf,0.387,0.0,62
SNHG29,MEP,0.301776,1,1,other,0.0,0.7544,63
HNF4G,MEP,0.301676,1,1,other,0.5028,0.0,64
RXRA,MEP,0.297517,1,1,other,0.4959,0.0,65
HSP90AB1,MEP,0.293822,1,1,other,0.0,0.7346,66
RUNX1,MEP,0.286278,1,1,tf,0.0,0.5505,67
POU2F2,MEP,0.283304,1,1,other,0.4722,0.0,68
TFAP2C,MEP,0.281366,1,1,other,0.4689,0.0,69
JUNB,MEP,0.278963,1,1,tf,0.3576,0.0,70
NME2,MEP,0.277054,1,1,other,0.0,0.6926,71
ETV6,MEP,0.275791,1,1,tf,0.0,0.5304,72
