gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
AC118549.1,GMP,0.000705,1,1,other,0.0,0.0018,509
NRIP1,GMP,0.000702,1,1,other,0.0,0.0018,510
MT-CO3,GMP,0.000701,1,1,mitochondrial,0.0,0.0025,511
FAR2,GMP,0.000689,1,1,other,0.0,0.0017,512
NSD2,GMP,0.000685,1,1,other,0.0,0.0017,513
H2AFZ,GMP,0.000676,1,1,other,0.0,0.0017,514
NSD3,GMP,0.000675,1,1,other,0.0,0.0017,515
ATP5MG,GMP,0.000662,1,1,other,0.0,0.0017,516
GALNT7,GMP,0.000649,1,1,other,0.0,0.0016,517
BMP2K,GMP,0.000644,1,1,other,0.0,0.0016,518
SIPA1L3,GMP,0.000639,1,1,other,0.0,0.0016,519
C22ORF34,GMP,0.000639,1,1,other,0.0,0.0016,520
CEACAM8,GMP,0.000625,1,1,other,0.0,0.0016,521
TEC,GMP,0.00062,1,1,other,0.0,0.0015,522
AL589693.1,GMP,0.000607,1,1,other,0.0,0.0015,523
TM7SF3,GMP,0.000598,1,1,other,0.0,0.0015,524
NKAIN2,GMP,0.000587,1,1,other,0.0,0.0015,525
MED12L,GMP,0.000582,1,1,other,0.0,0.0015,526
CFD,GMP,0.000569,1,1,other,0.0,0.0014,527
PCNA,GMP,0.000569,1,1,other,0.0,0.0014,528
MEGF9,GMP,0.000562,1,1,other,0.0,0.0014,529
AHR,GMP,0.000552,1,1,tf,0.0,0.0011,530
AFF3,GMP,0.000543,1,1,other,0.0,0.0014,531
CALN1,GMP,0.000536,1,1,other,0.0,0.0013,532
STRBP,GMP,0.000533,1,1,other,0.0,0.0013,533
CTNNB1,GMP,0.000532,1,1,other,0.0,0.0013,534
TYMP,GMP,0.000526,1,1,other,0.0,0.0013,535
PAG1,GMP,0.00052,1,1,other,0.0,0.0013,536
AKT3,GMP,0.000512,1,1,other,0.0,0.0013,537
CNST,GMP,0.000511,1,1,other,0.0,0.0013,538
RPS20,GMP,0.000509,1,1,ribosomal,0.0,0.0023,539
PDE4B,GMP,0.000505,1,1,other,0.0,0.0013,540
NDUFAF6,GMP,0.000503,1,1,other,0.0,0.0013,541
HSPH1,GMP,0.000502,1,1,other,0.0,0.0013,542
HDAC9,GMP,0.000487,1,1,other,0.0,0.0012,543
RIPOR2,GMP,0.000485,1,1,other,0.0,0.0012,544
PLEKHA5,GMP,0.000483,1,1,other,0.0,0.0012,545
DANT2,GMP,0.000469,1,1,other,0.0,0.0012,546
RBM47,GMP,0.000463,1,1,other,0.0,0.0012,547
NPW,GMP,0.00045,1,1,other,0.0,0.0011,548
FUT8,GMP,0.000441,1,1,other,0.0,0.0011,549
TCF7L2,GMP,0.000422,1,1,other,0.0,0.0011,550
PDE3B,GMP,0.000403,1,1,other,0.0,0.001,551
CD38,GMP,0.000403,1,1,other,0.0,0.001,552
PIK3R5,GMP,0.0004,1,1,other,0.0,0.001,553
SNHG3,GMP,0.000399,1,1,other,0.0,0.001,554
GTDC1,GMP,0.000397,1,1,other,0.0,0.001,555
SYNGR1,GMP,0.000397,1,1,other,0.0,0.001,556
CCDC171,GMP,0.000388,1,1,other,0.0,0.001,557
TMTC2,GMP,0.000386,1,1,other,0.0,0.001,558
PRKACB,GMP,0.000386,1,1,other,0.0,0.001,559
LDLRAD4,GMP,0.000384,1,1,other,0.0,0.001,560
SPRED2,GMP,0.000384,1,1,other,0.0,0.001,561
PEAK1,GMP,0.000384,1,1,other,0.0,0.001,562
NLK,GMP,0.00038,1,1,other,0.0,0.0009,563
ITPR1,GMP,0.000379,1,1,other,0.0,0.0009,564
PRKY,GMP,0.000373,1,1,other,0.0,0.0009,565
SLC2A3,GMP,0.00037,1,1,other,0.0,0.0009,566
S100A10,GMP,0.000363,1,1,other,0.0,0.0009,567
TENT5A,GMP,0.000361,1,1,other,0.0,0.0009,568
FGD4,GMP,0.000344,1,1,other,0.0,0.0009,569
LMO2,GMP,0.000341,1,1,tf,0.0,0.0007,570
ST6GALNAC3,GMP,0.000335,1,1,other,0.0,0.0008,571
CAMK1D,GMP,0.000334,1,1,other,0.0,0.0008,572
AC253572.2,GMP,0.00033,1,1,other,0.0,0.0008,573
PITPNC1,GMP,0.000325,1,1,other,0.0,0.0008,574
SOX4,GMP,0.000323,1,1,tf,0.0,0.0006,575
ZNF367,GMP,0.000321,1,1,other,0.0,0.0008,576
FER,GMP,0.000316,1,1,other,0.0,0.0008,577
CTDSPL,GMP,0.000314,1,1,other,0.0,0.0008,578
FRMD3,GMP,0.00031,1,1,other,0.0,0.0008,579
IGFBP2,GMP,0.000308,1,1,other,0.0,0.0008,580
ATF7IP2,GMP,0.000287,1,1,other,0.0,0.0007,581
HBM,GMP,0.000285,1,1,hemoglobin,0.0,0.0016,582
UBASH3B,GMP,0.000277,1,1,other,0.0,0.0007,583
IGF2BP2,GMP,0.000268,1,1,other,0.0,0.0007,584
AC007319.1,GMP,0.000267,1,1,other,0.0,0.0007,585
SLC8A1,GMP,0.000264,1,1,other,0.0,0.0007,586
SNX9,GMP,0.000253,1,1,other,0.0,0.0006,587
