gene,driver_score,evidence_count,gene_category,category_multiplier,geneWeight_norm,geneWeight_raw,DREM_norm,DREM_raw,DREM_trajectories,dynamic_norm,dynamic_qval,dynamic_log2fc,dynamic_track_count,dynamic_direction,network_norm,is_HC_marker,is_MFVS_driver,rank
PMAIP1,0.14557,3,other,1.0,0.2969,0.572086,0.0,0.0,0,0.0002,0.005874828949222799,0.1063,3,increasing,0.1353,False,False,663
BCL3,0.145374,2,other,1.0,0.0,0.0,0.365,756.5681,81,0.0,1.0,0.0,0,N/A,0.4719,False,True,664
ZRANB3,0.145374,3,other,1.0,0.298,0.574157,0.0,0.0,0,0.0054,2.32749234639048e-16,0.2991,3,increasing,0.1188,False,False,665
HOPX,0.145319,3,other,1.0,0.316,0.608503,0.0,0.0,0,0.0021,1.1807118382915281e-05,0.432,2,increasing,0.0529,False,False,666
IER5,0.145275,3,other,1.0,0.2807,0.541204,0.0,0.0,0,0.0006,0.0011921844430145556,0.2271,1,decreasing,0.1965,False,False,667
CLIC3,0.145141,3,other,1.0,0.3038,0.585167,0.0,0.0,0,0.0004,0.005556693044651856,0.2099,2,increasing,0.1035,False,False,668
RREB1,0.14514,3,other,1.0,0.2953,0.568982,0.0,0.0,0,0.004,1.8134063274568701e-13,0.2664,3,increasing,0.1304,False,False,669
SPATA5,0.145122,3,other,1.0,0.2985,0.575057,0.0,0.0,0,0.0051,1.1235102682709363e-15,0.2925,3,increasing,0.1153,False,False,670
BASP1,0.145114,3,other,1.0,0.2949,0.568282,0.0,0.0,0,0.0005,0.00012705607303241699,0.1478,1,increasing,0.1385,False,False,671
VPS54,0.145114,3,other,1.0,0.3013,0.580545,0.0,0.0,0,0.005,9.220768536753553e-15,0.2831,4,increasing,0.1039,False,False,672
NR4A2,0.144954,3,other,1.0,0.277,0.533992,0.0,0.0,0,0.0036,2.6357013328914504e-13,0.268,2,increasing,0.2027,False,False,673
RNF144B,0.144883,3,other,1.0,0.3079,0.593068,0.0,0.0,0,0.0018,6.332794062063885e-08,0.2041,4,increasing,0.0818,False,False,674
AHCYL2,0.144799,3,other,1.0,0.291,0.560802,0.0,0.0,0,0.0019,1.620097665896081e-08,0.2102,3,increasing,0.1485,False,False,675
