gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
GATA1,Monocyte,0.550209,1,1,tf,0.7054,0.0,32
MEF2A,Monocyte,0.53846,1,1,tf,0.6903,0.0,33
FOSL2,Monocyte,0.535894,1,1,tf,0.687,0.0,34
TAL1,Monocyte,0.535894,1,1,tf,0.687,0.0,35
EGR1,Monocyte,0.532627,1,1,tf,0.6829,0.0,36
EP300,Monocyte,0.531182,1,1,other,0.8853,0.0,37
IRF4,Monocyte,0.504465,1,1,tf,0.6467,0.0,38
TCF12,Monocyte,0.501116,1,1,tf,0.6425,0.0,39
BCL11A,Monocyte,0.495495,1,1,tf,0.6353,0.0,40
ELF1,Monocyte,0.48582,1,1,other,0.8097,0.0,41
SP1,Monocyte,0.47689,1,1,other,0.7948,0.0,42
HNF4A,Monocyte,0.452763,1,1,other,0.7546,0.0,43
SETDB1,Monocyte,0.450306,1,1,other,0.7505,0.0,44
REST,Monocyte,0.447066,1,1,other,0.7451,0.0,45
ESR1,Monocyte,0.44706,1,1,tf,0.5732,0.0,46
BATF,Monocyte,0.440939,1,1,other,0.7349,0.0,47
ZNF263,Monocyte,0.427984,1,1,other,0.7133,0.0,48
TRIM28,Monocyte,0.421778,1,1,other,0.703,0.0,49
MEF2C,Monocyte,0.420016,2,1,tf,0.5371,0.0021,50
ZNF143,Monocyte,0.406991,1,1,other,0.6783,0.0,51
S100A8,Monocyte,0.4,1,1,other,0.0,1.0,52
STAT1,Monocyte,0.398735,1,1,tf,0.5112,0.0,53
POU2F2,Monocyte,0.393338,1,1,other,0.6556,0.0,54
RFX5,Monocyte,0.38318,1,1,other,0.6386,0.0,55
SRT,Monocyte,0.382836,1,1,other,0.6381,0.0,56
HDAC2,Monocyte,0.375023,1,1,other,0.625,0.0,57
TFAP2C,Monocyte,0.372576,1,1,other,0.621,0.0,58
SIN3A,Monocyte,0.366599,1,1,other,0.611,0.0,59
E2F6,Monocyte,0.360186,1,1,other,0.6003,0.0,60
JUNB,Monocyte,0.355064,1,1,tf,0.4552,0.0,61
S100A9,Monocyte,0.349736,1,1,other,0.0,0.8743,62
FOSL1,Monocyte,0.344931,1,1,tf,0.4422,0.0,63
NANOG,Monocyte,0.339443,1,1,other,0.5657,0.0,64
GABPB1,Monocyte,0.33924,1,1,other,0.5654,0.0,65
MXI1,Monocyte,0.332147,1,1,tf,0.4258,0.0,66
RXRA,Monocyte,0.328417,1,1,other,0.5474,0.0,67
CCNT2,Monocyte,0.323472,1,1,other,0.5391,0.0,68
TFAP2A,Monocyte,0.314564,1,1,other,0.5243,0.0,69
ZBTB7A,Monocyte,0.312906,1,1,other,0.5215,0.0,70
PBX3,Monocyte,0.311501,1,1,tf,0.3994,0.0,71
HNF4G,Monocyte,0.302663,1,1,other,0.5044,0.0,72
ZEB1,Monocyte,0.290505,1,1,tf,0.3724,0.0,73
IRF1,Monocyte,0.290367,1,1,tf,0.3723,0.0,74
CTCFL,Monocyte,0.288786,1,1,other,0.4813,0.0,75
TMEM176B,Monocyte,0.278906,1,1,other,0.0,0.6973,76
GPX1,Monocyte,0.264075,1,1,other,0.0,0.6602,77
GTF2F1,Monocyte,0.261047,1,1,other,0.4351,0.0,78
CTSD,Monocyte,0.259417,1,1,other,0.0,0.6485,79
TMEM176A,Monocyte,0.256075,1,1,other,0.0,0.6402,80
S100A11,Monocyte,0.228817,1,1,other,0.0,0.572,81
CTSB,Monocyte,0.226581,1,1,other,0.0,0.5665,82
HMGN3,Monocyte,0.219171,1,1,other,0.3653,0.0,83
THBS1,Monocyte,0.218436,1,1,other,0.0,0.5461,84
ETS1,Monocyte,0.216917,1,1,other,0.3615,0.0,85
SMARCB1,Monocyte,0.21516,1,1,other,0.3586,0.0,86
NRF1,Monocyte,0.213811,1,1,other,0.3564,0.0,87
PRDM1,Monocyte,0.211101,1,1,tf,0.2706,0.0,88
CHD2,Monocyte,0.205159,1,1,other,0.3419,0.0,89
IFITM3,Monocyte,0.202168,1,1,other,0.0,0.5054,90
BCL3,Monocyte,0.198664,1,1,other,0.3311,0.0,91
TAF7,Monocyte,0.189212,1,1,other,0.3154,0.0,92
NFE2,Monocyte,0.189097,1,1,tf,0.2424,0.0,93
FPR1,Monocyte,0.18725,1,1,other,0.0,0.4681,94
BHLHE40,Monocyte,0.180569,1,1,other,0.3009,0.0,95
NFYB,Monocyte,0.179866,1,1,other,0.2998,0.0,96
E2F4,Monocyte,0.177521,1,1,tf,0.2276,0.0,97
GTF2B,Monocyte,0.177354,1,1,other,0.2956,0.0,98
ELK4,Monocyte,0.175062,1,1,other,0.2918,0.0,99
TYMP,Monocyte,0.175055,1,1,other,0.0,0.4376,100
IL1R2,Monocyte,0.172855,1,1,other,0.0,0.4321,101
ATF3,Monocyte,0.169568,1,1,other,0.2826,0.0,102
SMARCC1,Monocyte,0.165329,1,1,other,0.2755,0.0,103
BCLAF1,Monocyte,0.163554,1,1,other,0.2726,0.0,104
NFYA,Monocyte,0.161915,1,1,other,0.2699,0.0,105
ASGR2,Monocyte,0.160796,1,1,other,0.0,0.402,106
BRCA1,Monocyte,0.160516,1,1,other,0.2675,0.0,107
GLUL,Monocyte,0.154013,1,1,other,0.0,0.385,108
MTRNR2L8,Monocyte,0.142594,1,1,mitochondrial,0.0,0.5093,109
POU5F1,Monocyte,0.141962,1,1,other,0.2366,0.0,110
POLR3A,Monocyte,0.1417,1,1,other,0.2362,0.0,111
SIX5,Monocyte,0.13783,1,1,other,0.2297,0.0,112
STAT2,Monocyte,0.13323,1,1,tf,0.1708,0.0,113
ZBTB33,Monocyte,0.100618,1,1,other,0.1677,0.0,114
SP2,Monocyte,0.100358,1,1,other,0.1673,0.0,115
ZNF274,Monocyte,0.090816,1,1,other,0.1514,0.0,116
SUZ12,Monocyte,0.088835,1,1,tf,0.1139,0.0,117
RDBP,Monocyte,0.081451,1,1,other,0.1358,0.0,118
NR2C2,Monocyte,0.07639,1,1,other,0.1273,0.0,119
IRF3,Monocyte,0.071233,1,1,tf,0.0913,0.0,120
THAP1,Monocyte,0.070835,1,1,other,0.1181,0.0,121
SMARCA4,Monocyte,0.070068,1,1,other,0.1168,0.0,122
SIRT6,Monocyte,0.061497,1,1,other,0.1025,0.0,123
HSF1,Monocyte,0.061233,1,1,other,0.1021,0.0,124
CTBP2,Monocyte,0.06045,1,1,other,0.1007,0.0,125
SMARCC2,Monocyte,0.056825,1,1,other,0.0947,0.0,126
ZZZ3,Monocyte,0.054719,1,1,other,0.0912,0.0,127
SREBF1,Monocyte,0.053436,1,1,other,0.0891,0.0,128
ESRRA,Monocyte,0.046188,1,1,other,0.077,0.0,129
KAT2A,Monocyte,0.037366,1,1,other,0.0623,0.0,130
BRF2,Monocyte,0.036456,1,1,other,0.0608,0.0,131
WHIP,Monocyte,0.034592,1,1,other,0.0577,0.0,132
PPARGC1A,Monocyte,0.029418,1,1,other,0.049,0.0,133
NR3C1,Monocyte,0.026546,1,1,tf,0.034,0.0,134
HBA2,Monocyte,0.025302,1,1,hemoglobin,0.0,0.1406,135
SREBF2,Monocyte,0.022267,1,1,other,0.0371,0.0,136
HBB,Monocyte,0.020656,1,1,hemoglobin,0.0,0.1148,137
RPS29,Monocyte,0.020367,1,1,ribosomal,0.0,0.0926,138
BDP1,Monocyte,0.017944,1,1,other,0.0299,0.0,139
MT-CO3,Monocyte,0.016067,1,1,mitochondrial,0.0,0.0574,140
MT-ND3,Monocyte,0.014532,1,1,mitochondrial,0.0,0.0519,141
RPL7,Monocyte,0.013003,1,1,ribosomal,0.0,0.0591,142
HDAC8,Monocyte,0.012463,1,1,other,0.0208,0.0,143
RPL13A,Monocyte,0.012143,1,1,ribosomal,0.0,0.0552,144
HBA1,Monocyte,0.011502,1,1,hemoglobin,0.0,0.0639,145
CEBPD,Monocyte,0.009451,1,1,tf,0.0,0.0182,146
HLA-DRA,Monocyte,0.009287,1,1,other,0.0,0.0232,147
RPL27A,Monocyte,0.008709,1,1,ribosomal,0.0,0.0396,148
RPS2,Monocyte,0.008522,1,1,ribosomal,0.0,0.0387,149
IGKC,Monocyte,0.008512,1,1,immunoglobulin,0.0,0.0387,150
RPS17,Monocyte,0.0085,1,1,ribosomal,0.0,0.0386,151
RPL36A,Monocyte,0.008129,1,1,ribosomal,0.0,0.037,152
RPL37A,Monocyte,0.007926,1,1,ribosomal,0.0,0.036,153
RPL23,Monocyte,0.007726,1,1,ribosomal,0.0,0.0351,154
FTL,Monocyte,0.00745,1,1,other,0.0,0.0186,155
XRCC4,Monocyte,0.007442,1,1,other,0.0124,0.0,156
POLR3G,Monocyte,0.007385,1,1,other,0.0123,0.0,157
FAM48A,Monocyte,0.00717,1,1,other,0.012,0.0,158
ATP5F1E,Monocyte,0.007075,1,1,other,0.0,0.0177,159
HLA-DPA1,Monocyte,0.006691,1,1,other,0.0,0.0167,160
RPS10,Monocyte,0.00643,1,1,ribosomal,0.0,0.0292,161
