gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
PRKCQ-AS1,Eryp,2.9e-05,1,2,other,0.0,0.0001,753
PCNX4,Eryp,2.7e-05,1,2,other,0.0,0.0001,754
LMO4,Eryp,2.7e-05,1,2,other,0.0,0.0001,755
DLEU1,Eryp,2.6e-05,1,2,other,0.0,0.0001,756
CEP128,Eryp,2.4e-05,1,2,other,0.0,0.0001,757
CYP7B1,Eryp,2.3e-05,1,2,other,0.0,0.0001,758
HMGA2,Eryp,2.3e-05,1,2,tf,0.0,0.0,759
SIPA1L1,Eryp,2.3e-05,1,2,other,0.0,0.0001,760
TANC2,Eryp,2.3e-05,1,2,other,0.0,0.0001,761
ATP13A3,Eryp,2.3e-05,1,2,other,0.0,0.0001,762
VPS54,Eryp,2.2e-05,1,2,other,0.0,0.0001,763
CLU,Eryp,2.2e-05,1,2,other,0.0,0.0001,764
FYB1,Eryp,2.2e-05,1,2,other,0.0,0.0001,765
AC002454.1,Eryp,2.2e-05,1,2,other,0.0,0.0001,766
ARHGAP22,Eryp,2e-05,1,2,other,0.0,0.0001,767
PPM1L,Eryp,1.9e-05,1,2,other,0.0,0.0,768
AL589693.1,Eryp,1.9e-05,1,2,other,0.0,0.0,769
TRAF3IP2-AS1,Eryp,1.8e-05,1,2,other,0.0,0.0,770
PLA2G4A,Eryp,1.8e-05,1,2,other,0.0,0.0,771
P2RY14,Eryp,1.6e-05,1,2,other,0.0,0.0,772
YES1,Eryp,1.6e-05,1,2,other,0.0,0.0,773
FAR2,Eryp,1.6e-05,1,2,other,0.0,0.0,774
ATP1B1,Eryp,1.6e-05,1,2,other,0.0,0.0,775
STRBP,Eryp,1.5e-05,1,2,other,0.0,0.0,776
PELI2,Eryp,1.5e-05,1,2,other,0.0,0.0,777
IL18,Eryp,1.5e-05,1,2,other,0.0,0.0,778
ELL2,Eryp,1.4e-05,1,2,other,0.0,0.0,779
CCDC18-AS1,Eryp,1.4e-05,1,2,other,0.0,0.0,780
SOCS2,Eryp,1.3e-05,1,2,other,0.0,0.0,781
DACH1,Eryp,1.3e-05,1,2,other,0.0,0.0,782
TPX2,Eryp,1.2e-05,1,2,other,0.0,0.0,783
NUBPL,Eryp,1.2e-05,1,2,other,0.0,0.0,784
CASC15,Eryp,1.1e-05,1,2,other,0.0,0.0,785
ANTXR2,Eryp,1.1e-05,1,2,other,0.0,0.0,786
CRPPA,Eryp,1e-05,1,2,other,0.0,0.0,787
AC008014.1,Eryp,9e-06,1,2,other,0.0,0.0,788
PDE4D,Eryp,9e-06,1,2,other,0.0,0.0,789
CBLB,Eryp,8e-06,1,2,other,0.0,0.0,790
PHACTR1,Eryp,8e-06,1,2,other,0.0,0.0,791
LINC01619,Eryp,8e-06,1,2,other,0.0,0.0,792
ATP2B1,Eryp,8e-06,1,2,other,0.0,0.0,793
LINC00342,Eryp,8e-06,1,2,other,0.0,0.0,794
AHCYL2,Eryp,8e-06,1,2,other,0.0,0.0,795
TK1,Eryp,8e-06,1,2,other,0.0,0.0,796
SEMA3C,Eryp,7e-06,1,2,other,0.0,0.0,797
CABLES1,Eryp,6e-06,1,2,other,0.0,0.0,798
SESN3,Eryp,5e-06,1,2,other,0.0,0.0,799
APLP2,Eryp,5e-06,1,2,other,0.0,0.0,800
MCTP1,Eryp,5e-06,1,2,other,0.0,0.0,801
RFLNB,Eryp,3e-06,1,2,other,0.0,0.0,802
TFPI,Eryp,1e-06,1,2,other,0.0,0.0,803
TIMP3,Eryp,1e-06,1,2,other,0.0,0.0,804
AC069410.1,Eryp,0.0,0,2,other,0.0,0.0,805
ZNF367,Eryp,0.0,1,2,other,0.0,0.0,806
CRADD,Eryp,0.0,1,2,other,0.0,0.0,807
BRF1,Eryp,0.0,0,2,other,0.0,0.0,808
ARMH1,Eryp,0.0,1,2,other,0.0,0.0,809
